record_id,resident_id,place_id,entry_time,exit_time,last_update_dt
79831e5b-2838-4b8c-9e7f-2f9b5b13ee8d,rid_210,pid_89,2021-04-15T17:28:00.000+08:00,2021-04-15T18:24:00.000+08:00,2021-04-09T16:24:23.996+08:00
62adff83-e6ec-4144-9275-350b3a7bf3a2,rid_728,pid_59,2021-04-14T11:15:00.000+08:00,2021-04-14T12:44:00.000+08:00,2021-04-09T16:24:23.999+08:00
4c8cc634-9429-448c-8256-5c6040e71538,rid_951,pid_11,2021-04-11T12:35:00.000+08:00,2021-04-11T13:53:00.000+08:00,2021-04-09T16:24:24.002+08:00
862ea809-df36-4153-9903-063cdbdd608c,rid_801,pid_54,2021-04-16T19:56:00.000+08:00,2021-04-16T20:46:00.000+08:00,2021-04-09T16:24:24.004+08:00
4f47ce92-8e06-43ee-9025-6540f2e19c6c,rid_409,pid_80,2021-04-15T16:35:00.000+08:00,2021-04-15T18:48:00.000+08:00,2021-04-09T16:24:24.007+08:00
a6d681e5-396f-411e-b460-e93f9f75a709,rid_541,pid_25,2021-04-13T15:01:00.000+08:00,2021-04-13T16:59:00.000+08:00,2021-04-09T16:24:24.009+08:00
e4c0ca3d-a3af-4659-a5f6-0b99a2de61a9,rid_297,pid_20,2021-04-16T16:04:00.000+08:00,2021-04-16T16:40:00.000+08:00,2021-04-09T16:24:24.011+08:00
6d5c7961-3d68-4824-a953-7aa3aeefccf9,rid_572,pid_50,2021-04-14T10:03:00.000+08:00,2021-04-14T12:04:00.000+08:00,2021-04-09T16:24:24.015+08:00
d3f008a4-0cf0-4c2c-89de-e45a4984a39a,rid_700,pid_1,2021-04-11T18:36:00.000+08:00,2021-04-11T19:43:00.000+08:00,2021-04-09T16:24:24.017+08:00
a96aed56-ac8b-416f-adf4-8d419694fba3,rid_61,pid_85,2021-04-14T14:08:00.000+08:00,2021-04-14T15:06:00.000+08:00,2021-04-09T16:24:24.020+08:00
