pid_1,Adam Road Food Centre,"",289876,"2, Adam Road, S(289876)","","","",2021-03-18T00:02:29.256+08:00
pid_2,Amoy Street Food Centre,"",069111,"National Development Building, Annex B, Telok Ayer Street, S(069111)","","","",2021-03-18T00:02:29.262+08:00
pid_3,Bedok Food Centre,"",469572,"1, Bedok Road, S(469572)","","","",2021-03-18T00:02:29.267+08:00
pid_4,Beo Crescent Market,"",169982,"38A, Beo Crescent, S(169982)","","","",2021-03-18T00:02:29.271+08:00
pid_5,Berseh Food Centre,"",208877,"166, Jalan Besar, S(208877)","","","",2021-03-18T00:02:29.277+08:00
pid_6,Bukit Timah Market,"",588215,"51, Upper Bukit Timah Road, S(588215)","","","",2021-03-18T00:02:29.283+08:00
pid_7,Chomp Chomp Food Centre,"",557269,"20, Kensington Park Road, S(557269)","","","",2021-03-18T00:02:29.288+08:00
pid_8,Commonwealth Crescent Market,"",149644,"31, Commonwealth Crescent, S(149644)","","","",2021-03-18T00:02:29.294+08:00
pid_9,Dunman Food Centre,"",424768,"271, Onan Road, S(424768)","","","",2021-03-18T00:02:29.299+08:00
pid_10,East Coast Lagoon Food Village,"",468960,"1220, East Coast Parkway, S(468960)","","","",2021-03-18T00:02:29.304+08:00
pid_11,Geylang Serai Market,"",402001,"Geylang Serai, S(402001)","","","",2021-03-18T00:02:29.309+08:00
pid_12,Golden Mile Food Centre,"",199583,"505, Beach Road, S(199583)","","","",2021-03-18T00:02:29.314+08:00
pid_13,Holland Village Market & Food Centre,"",277700,"1, Lorong Mambong, S(277700)","","","",2021-03-18T00:02:29.318+08:00
pid_14,Kallang Estate Market,"",397972,"17, Old Airport Road, S(397972)","","","",2021-03-18T00:02:29.323+08:00
pid_15,Market Street Food Centre,"",048940,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)","","","",2021-03-18T00:02:29.327+08:00
pid_16,Maxwell Food Centre,"",069184,"1, Kadayanallur Street, S(069184)","","","",2021-03-18T00:02:29.332+08:00
pid_17,Newton Food Centre,"",229495,"500, Clemenceau Ave North, S(229495)","","","",2021-03-18T00:02:29.336+08:00
pid_18,North Bridge Road Market & Food Centre,"",198783,"861, North Bridge Road, S(198783)","","","",2021-03-18T00:02:29.341+08:00
pid_19,Pasir Panjang Food Centre,"",118543,"121, Pasir Panjang Road, S(118543)","","","",2021-03-18T00:02:29.346+08:00
pid_20,Serangoon Garden Market,"",555945,"49A, Serangoon Garden Way, S(555945)","","","",2021-03-18T00:02:29.351+08:00
pid_21,Sembawang Hill Food Centre,"",574419,"590, Upper Thomson Road, S(574419)","","","",2021-03-18T00:02:29.355+08:00
pid_22,Taman Jurong Market & Food Centre,"",618499,"3, Yung Sheng Road, S(618499)","","","",2021-03-18T00:02:29.361+08:00
pid_23,Tanglin Halt Market,"",148813,"48A, Tanglin Halt Road, S(148813)","","","",2021-03-18T00:02:29.366+08:00
pid_24,Tiong Bahru Market,"",168898,"30, Seng Poh Road, S(168898)","","","",2021-03-18T00:02:29.370+08:00
pid_25,Zion Riverside Food Centre,"",247792,"70, Zion Road, S(247792)","","","",2021-03-18T00:02:29.376+08:00
pid_26,ABC Brickworks Market & Food Centre,"",150006,"Blk 6, Jalan Bukit Merah, S(150006)","","","",2021-03-18T00:02:29.381+08:00
pid_27,Albert Centre Market & Food Centre,"",180270,"Blk 270, Queen Street, S(180270)","","","",2021-03-18T00:02:29.386+08:00
pid_28,Alexandra Village Food Centre,"",150120,"Blk 120, Bukit Merah Lane, S(150120)","","","",2021-03-18T00:02:29.390+08:00
pid_29,Blk 1 Jalan Kukoh,"",161001,"Blk 1, Jalan Kukoh, S(161001)","","","",2021-03-18T00:02:29.395+08:00
pid_30,Blk 105 Hougang Ave 1,"",530105,"Blk 105, Hougang Ave 1, S(530105)","","","",2021-03-18T00:02:29.399+08:00
pid_31,Blk 11 Telok Blangah Crescent,"",090011,"Blk 11, Telok Blangah Crescent, S(090011)","","","",2021-03-18T00:02:29.404+08:00
pid_32,Blk 112 Jalan Bukit Merah,"",160112,"Blk 112, Jalan Bukit Merah, S(160112)","","","",2021-03-18T00:02:29.408+08:00
pid_33,Blk 115 Bukit Merah View,"",151115,"Blk 115, Bukit Merah View, S(151115)","","","",2021-03-18T00:02:29.412+08:00
pid_34,Blk 117 Aljunied Ave 2,"",380117,"Blk 117, Aljunied Ave 2, S(380117)","","","",2021-03-18T00:02:29.417+08:00
