record_id,resident_id,place_id,entry_time,exit_time,last_update_dt
e1ba20f6-32c1-454d-b411-b35e51e1c09b,rid_496,pid_27,2021-02-01 15:22:00.000000,2021-02-01 16:15:00.000000,2021-04-01 17:13:13.018100
472b0ef8-c703-40bd-84f0-b019517b884c,rid_198,pid_2,2021-02-02 14:57:00.000000,2021-02-02 16:01:00.000000,2021-04-01 17:13:13.021152
317fcc49-b462-4077-af31-38609fffa214,rid_962,pid_1,2021-02-05 08:11:00.000000,2021-02-05 09:06:00.000000,2021-04-01 17:13:13.023717
585a5213-f15c-4b7d-bc10-ca46fc156b11,rid_108,pid_10,2021-02-05 14:57:00.000000,2021-02-05 16:00:00.000000,2021-04-01 17:13:13.025985
65d022db-16c0-40a8-8cbb-e0650605a932,rid_208,pid_27,2021-02-03 10:17:00.000000,2021-02-03 11:13:00.000000,2021-04-01 17:13:13.028326
0c9dfa23-e979-4e4b-9019-09b4f8fadb21,rid_889,pid_24,2021-02-05 08:23:00.000000,2021-02-05 09:00:00.000000,2021-04-01 17:13:13.030626
26bd4156-31c0-4551-8d27-478d65748428,rid_772,pid_4,2021-02-07 12:13:00.000000,2021-02-07 13:30:00.000000,2021-04-01 17:13:13.033675
3f7dee5e-65a4-4105-bf54-ee627354e987,rid_917,pid_10,2021-02-04 13:12:00.000000,2021-02-04 13:57:00.000000,2021-04-01 17:13:13.036014
abd7c783-1d4e-469a-9860-63e1904cedd9,rid_14,pid_8,2021-02-06 15:07:00.000000,2021-02-06 16:36:00.000000,2021-04-01 17:13:13.038330
00cf90cf-5c13-4b0c-8fa3-12ea6988115e,rid_735,pid_3,2021-02-02 09:30:00.000000,2021-02-02 10:25:00.000000,2021-04-01 17:13:13.040548
61cb346b-9e7b-467b-9c73-e35dfe057f40,rid_712,pid_18,2021-02-04 09:42:00.000000,2021-02-04 10:53:00.000000,2021-04-01 17:13:13.042773
a1d11164-5035-476e-ada0-d8487083fd3d,rid_189,pid_27,2021-02-07 15:03:00.000000,2021-02-07 15:53:00.000000,2021-04-01 17:13:13.044992
dc87ea84-0ae4-4418-bcf0-629df7c26128,rid_763,pid_4,2021-02-03 13:52:00.000000,2021-02-03 14:27:00.000000,2021-04-01 17:13:13.047394
2b40f859-2a16-46ff-93d7-b4a901e6e4ea,rid_856,pid_6,2021-02-01 19:55:00.000000,2021-02-01 21:26:00.000000,2021-04-01 17:13:13.049979
719a8374-04b5-43c1-b1d5-7d6e0898ff88,rid_984,pid_17,2021-02-06 14:33:00.000000,2021-02-06 15:47:00.000000,2021-04-01 17:13:13.052804
4ddffa0e-baf7-4c33-a9ef-92457acbe5f9,rid_773,pid_9,2021-02-07 17:14:00.000000,2021-02-07 17:55:00.000000,2021-04-01 17:13:13.056204
ca762ec4-7fee-4f68-a5fb-d46a01301ff8,rid_525,pid_9,2021-02-02 12:22:00.000000,2021-02-02 13:11:00.000000,2021-04-01 17:13:13.059023
