record_id,resident_id,place_id,entry_time,exit_time,last_update_dt
4c0b58ae-44d0-4c04-8a89-6411d50cd83f,rid_2924,pid_104,2021-03-11 08:00:00.000000,2021-03-11 08:32:00.000000,2021-04-13 00:40:30.815605
b2fe5321-851e-4561-afe7-5592f23809d1,rid_784,pid_39,2021-03-11 08:02:00.000000,2021-03-11 08:56:00.000000,2021-04-13 00:39:39.135271
2aea4040-aa2f-4571-afdd-a1cb59634850,rid_327,pid_99,2021-03-11 08:03:00.000000,2021-03-11 09:26:00.000000,2021-04-13 00:39:56.696724
1cc4b669-cda8-4364-ba1e-826d59b6eea0,rid_1502,pid_13,2021-03-11 08:03:00.000000,2021-03-11 09:59:00.000000,2021-04-13 00:40:03.980303
280e3bb2-a721-4e92-a4ba-46183adac496,rid_2,pid_8,2021-03-11 08:04:00.000000,2021-03-11 08:40:00.000000,2021-04-13 00:39:54.900987
ac096055-b510-4abc-bc23-e8b393ebbedc,rid_470,pid_65,2021-03-11 08:04:00.000000,2021-03-11 08:08:00.000000,2021-04-13 00:40:04.031963
9dacddcd-906c-4f01-9d10-ed1f7d7afb10,rid_1588,pid_101,2021-03-11 08:06:00.000000,2021-03-11 08:57:00.000000,2021-04-13 00:39:25.308228
5beb17ec-a081-4889-b7e3-05cc035c0dec,rid_1407,pid_76,2021-03-11 08:07:00.000000,2021-03-11 08:51:00.000000,2021-04-13 00:40:01.220109
f4dc8d10-9f4d-4d6f-ba0e-ee32030c0cfd,rid_567,pid_89,2021-03-11 08:07:00.000000,2021-03-11 09:19:00.000000,2021-04-13 00:40:09.960066
2b98819c-980e-4a27-9f51-e55785962ef2,rid_2909,pid_73,2021-03-11 08:08:00.000000,2021-03-11 09:09:00.000000,2021-04-13 00:40:27.608655
6a0e88f1-2240-4185-86ff-0d3fe20544eb,rid_160,pid_65,2021-03-11 08:08:00.000000,2021-03-11 08:42:00.000000,2021-04-13 00:40:08.033287
ddfd5df0-ef91-4340-a781-fc54a0483615,rid_21,pid_54,2021-03-11 08:09:00.000000,2021-03-11 09:19:00.000000,2021-04-13 00:40:28.079600
f06319d7-3cec-40fc-87e5-9494e8fea1c0,rid_2174,pid_35,2021-03-11 08:09:00.000000,2021-03-11 09:19:00.000000,2021-04-13 00:39:21.912484
de5921d5-f053-45d5-969c-3daf3074a9d1,rid_1438,pid_37,2021-03-11 08:09:00.000000,2021-03-11 11:01:00.000000,2021-04-13 00:40:04.856408
4e2f0e81-1d8a-4948-8553-d82b1d7af908,rid_2411,pid_72,2021-03-11 08:10:00.000000,2021-03-11 09:40:00.000000,2021-04-13 00:39:56.478088
9fc173cc-dd95-49e7-8452-6fe261195744,rid_2425,pid_97,2021-03-11 08:10:00.000000,2021-03-11 08:06:00.000000,2021-04-13 00:40:10.505413
66cc1d79-feb1-41a6-93eb-db92355eb0eb,rid_2556,pid_80,2021-03-11 08:10:00.000000,2021-03-11 09:09:00.000000,2021-04-13 00:40:22.642746
